"OrderID","OrderDate","CustomerName","Email","PhoneNumber","AddressLine1","City","Country","Postcode","LoyaltyCard","CoffeeType","RoastType","Size","UnitPrice","PricePer100g","Profit","Quantity","TotalPrice","TotalProfit"
VAU-44387-624,"3/20/2019",Minni Alabaster,malabasterg@hexun.com,+1 (971) 483-6255,"3 Charing Cross Trail",Portland,United States,"97271",Loyality Card,Coffee Type,Roast Type,"0.2",3.375,Price per 100g,0.30375,6,20.25,1.8225000000000002
RDW-33155-159,"10/19/2019",Rhianon Broxup,rbroxuph@jimdo.com,+1 (713) 663-1338,"83517 Thierer Court",Houston,United States,"77240",Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.1655,6,77.69999999999999,6.993
TDZ-59011-211,"6/13/2019",Pall Redford,predfordi@ow.ly,N/A,"7337 Hayes Junction",Caherconlish,Ireland,F45,Loyality Card,Coffee Type,Roast Type,"2.5",20.585,Price per 100g,1.2351,4,82.34,4.9404
IDU-25793-399,"12/4/2020",Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,"698 Canary Terrace",New York City,United States,"10060",Loyality Card,Coffee Type,Roast Type,"0.2",3.375,Price per 100g,0.30375,5,16.875,1.51875
IDU-25793-399,"12/4/2020",Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,"698 Canary Terrace",New York City,United States,"10060",Loyality Card,Coffee Type,Roast Type,"0.2",3.645,Price per 100g,0.40095,4,14.58,1.6038
NUO-20013-488,"12/4/2020",Avrit Davidowsky,adavidowskyl@netvibes.com,+1 (616) 481-9962,"9 Warrior Junction",Grand Rapids,United States,"49560",Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.26865,6,17.91,1.6118999999999999
UQU-65630-479,"1/22/2021",Annabel Antuk,aantukm@kickstarter.com,+1 (941) 740-6268,"77965 Lawn Park",Punta Gorda,United States,"33982",Loyality Card,Coffee Type,Roast Type,"2.5",22.885,Price per 100g,1.3731,4,91.54,5.4924
FEO-11834-332,"2/11/2022",Iorgo Kleinert,ikleinertn@timesonline.co.uk,+1 (360) 352-6598,"1 Morningstar Lane",Vancouver,United States,"98682",Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.26865,4,11.94,1.0746
TKY-71558-096,"9/15/2021",Chrisy Blofeld,cblofeldo@amazon.co.uk,+1 (303) 936-3357,"013 Talisman Terrace",Englewood,United States,"80150",Loyality Card,Coffee Type,Roast Type,"1.0",11.25,Price per 100g,1.0125,1,11.25,1.0125
OXY-65322-253,"10/24/2020",Culley Farris,N/A,+1 (941) 267-4822,"4 Mitchell Drive",Punta Gorda,United States,"33982",Loyality Card,Coffee Type,Roast Type,"0.2",4.125,Price per 100g,0.45375,3,12.375,1.36125
EVP-43500-491,"2/20/2019",Selene Shales,sshalesq@umich.edu,+1 (707) 881-5004,"74 Bultman Plaza",Petaluma,United States,"94975",Loyality Card,Coffee Type,Roast Type,"0.5",6.75,Price per 100g,0.6075,4,27.0,2.43
WAG-26945-689,"10/8/2019",Vivie Danneil,vdanneilr@mtv.com,+353 (751) 346-0399,"5626 Darwin Avenue",Tralee,Ireland,V92,Loyality Card,Coffee Type,Roast Type,"0.2",3.375,Price per 100g,0.30375,5,16.875,1.51875
CHE-78995-767,"8/2/2022",Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,"79526 Bultman Lane",Clonskeagh,Ireland,D04,Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.5373,3,17.91,1.6118999999999999
RYZ-14633-602,"2/20/2019",Mozelle Calcutt,mcalcuttt@baidu.com,+353 (928) 869-1762,"4389 Russell Way",Rathwire,Ireland,Y25,Loyality Card,Coffee Type,Roast Type,"1.0",9.95,Price per 100g,0.8955,4,39.8,3.582
WOQ-36015-429,"9/25/2021",Adrian Swaine,N/A,+1 (303) 486-9517,"95 Straubel Hill",Aurora,United States,"80044",Loyality Card,Coffee Type,Roast Type,"0.2",4.365,Price per 100g,0.56745,5,21.825000000000003,2.83725
WOQ-36015-429,"9/25/2021",Adrian Swaine,N/A,+1 (303) 486-9517,"95 Straubel Hill",Aurora,United States,"80044",Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.5373,6,35.82,3.2237999999999998
WOQ-36015-429,"9/25/2021",Adrian Swaine,N/A,+1 (303) 486-9517,"95 Straubel Hill",Aurora,United States,"80044",Loyality Card,Coffee Type,Roast Type,"0.5",8.73,Price per 100g,1.1349,6,52.38,6.8094
SCT-60553-454,"7/17/2021",Gallard Gatheral,ggatheralx@123-reg.co.uk,N/A,"40 Clemons Place",Grand Forks,United States,"58207",Loyality Card,Coffee Type,Roast Type,"0.2",4.755,Price per 100g,0.61815,5,23.775,3.09075
GFK-52063-244,"6/29/2020",Una Welberry,uwelberryy@ebay.co.uk,+44 (392) 503-8132,"40915 Schlimgen Park",Upton,United Kingdom,DN21,Loyality Card,Coffee Type,Roast Type,"0.5",9.51,Price per 100g,1.2363,6,57.06,7.4178
AMM-79521-378,"6/1/2021",Faber Eilhart,feilhartz@who.int,+1 (304) 510-6095,"6966 Victoria Street",Charleston,United States,"25362",Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.5373,6,35.82,3.2237999999999998
QUQ-90580-772,"2/6/2021",Zorina Ponting,zponting10@altervista.org,+1 (501) 172-1476,"7118 Holmberg Court",Little Rock,United States,"72204",Loyality Card,Coffee Type,Roast Type,"0.2",4.365,Price per 100g,0.56745,2,8.73,1.1349
LGD-24408-274,"4/25/2019",Silvio Strase,sstrase11@booking.com,+1 (303) 579-8015,"5 Forest Lane",Denver,United States,"80291",Loyality Card,Coffee Type,Roast Type,"0.5",9.51,Price per 100g,1.2363,3,28.53,3.7089
HCT-95608-959,"4/25/2020",Dorie de la Tremoille,dde12@unesco.org,+1 (612) 492-5160,"0817 Dennis Street",Minneapolis,United States,"55458",Loyality Card,Coffee Type,Roast Type,"2.5",22.885,Price per 100g,1.3731,5,114.42500000000001,6.8655
OFX-99147-470,"11/24/2021",Hy Zanetto,N/A,N/A,"469 Paget Place",Tucson,United States,"85715",Loyality Card,Coffee Type,Roast Type,"1.0",9.95,Price per 100g,0.597,6,59.699999999999996,3.582
LUO-37559-016,"4/19/2021",Jessica McNess,N/A,+1 (504) 545-1478,"664 Erie Place",New Orleans,United States,"70116",Loyality Card,Coffee Type,Roast Type,"1.0",14.55,Price per 100g,1.8915,3,43.650000000000006,5.6745
XWC-20610-167,"7/7/2022",Lorenzo Yeoland,lyeoland15@pbs.org,+1 (860) 576-2887,"8510 Merrick Road",Hartford,United States,"6183",Loyality Card,Coffee Type,Roast Type,"0.2",3.645,Price per 100g,0.40095,2,7.29,0.8019
GPU-79113-136,"5/22/2019",Abigail Tolworthy,atolworthy16@toplist.cz,+1 (801) 722-4425,"74 Shopko Way",Ogden,United States,"84409",Loyality Card,Coffee Type,Roast Type,"0.2",2.685,Price per 100g,0.1611,3,8.055,0.48329999999999995
ULR-52653-960,"10/4/2021",Maurie Bartol,N/A,+1 (617) 493-7594,"7625 Starling Court",Boston,United States,"2216",Loyality Card,Coffee Type,Roast Type,"2.5",36.455,Price per 100g,4.73915,2,72.91,9.4783
HPI-42308-142,"4/11/2020",Olag Baudassi,obaudassi18@seesaa.net,+1 (585) 356-6251,"55 Dottie Court",Rochester,United States,"14604",Loyality Card,Coffee Type,Roast Type,"0.5",8.25,Price per 100g,0.9075,2,16.5,1.815
XHI-30227-581,"1/31/2022",Petey Kingsbury,pkingsbury19@comcast.net,+1 (917) 705-8224,"28 Loftsgordon Place",Bronx,United States,"10469",Loyality Card,Coffee Type,Roast Type,"2.5",29.785,Price per 100g,3.87205,6,178.71,23.232300000000002
DJH-05202-380,"11/7/2019",Donna Baskeyfied,N/A,+1 (205) 923-1460,"7586 Logan Avenue",Birmingham,United States,"35205",Loyality Card,Coffee Type,Roast Type,"2.5",31.625,Price per 100g,3.47875,2,63.25,6.9575
VMW-26889-781,"6/28/2019",Arda Curley,acurley1b@hao123.com,+1 (760) 840-3808,"45098 Scott Drive",San Bernardino,United States,"92415",Loyality Card,Coffee Type,Roast Type,"0.2",3.885,Price per 100g,0.34965,2,7.77,0.6993
DBU-81099-586,"9/11/2020",Raynor McGilvary,rmcgilvary1c@tamu.edu,N/A,"496 Rockefeller Court",Norfolk,United States,"23514",Loyality Card,Coffee Type,Roast Type,"2.5",22.885,Price per 100g,2.05965,4,91.54,8.2386
PQA-54820-810,"8/17/2022",Isis Pikett,ipikett1d@xinhuanet.com,+1 (202) 871-9039,"5892 Hauk Drive",Washington,United States,"20409",Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.1655,3,38.849999999999994,3.4965
XKB-41924-202,"8/19/2022",Inger Bouldon,ibouldon1e@gizmodo.com,+1 (754) 391-4736,"925 Barby Circle",Fort Lauderdale,United States,"33355",Loyality Card,Coffee Type,Roast Type,"0.5",7.77,Price per 100g,1.0101,2,15.54,2.0202
DWZ-69106-473,"5/15/2019",Karry Flanders,kflanders1f@over-blog.com,+353 (467) 720-7274,"88 Blue Bill Park Avenue",Crumlin,Ireland,D6W,Loyality Card,Coffee Type,Roast Type,"2.5",36.455,Price per 100g,4.73915,4,145.82,18.9566
YHV-68700-050,"9/11/2019",Hartley Mattioli,hmattioli1g@webmd.com,N/A,"126 Valley Edge Street",Kinloch,United Kingdom,PH43,Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.3582,5,29.849999999999998,1.7910000000000001
YHV-68700-050,"9/11/2019",Hartley Mattioli,hmattioli1g@webmd.com,N/A,"126 Valley Edge Street",Kinloch,United Kingdom,PH43,Loyality Card,Coffee Type,Roast Type,"2.5",36.455,Price per 100g,4.73915,2,72.91,9.4783
KRB-88066-642,"3/16/2021",Archambault Gillard,agillard1i@issuu.com,+1 (419) 663-2236,"97490 Susan Avenue",Toledo,United States,"43666",Loyality Card,Coffee Type,Roast Type,"1.0",14.55,Price per 100g,1.8915,5,72.75,9.4575
LQU-08404-173,"12/3/2020",Salomo Cushworth,N/A,+1 (609) 409-7044,"44 Oneill Parkway",Trenton,United States,"8650",Loyality Card,Coffee Type,Roast Type,"1.0",15.85,Price per 100g,2.0605,3,47.55,6.181500000000001
CWK-60159-881,"1/27/2020",Theda Grizard,tgrizard1k@odnoklassniki.ru,+1 (813) 243-2150,"6 Knutson Pass",Tampa,United States,"33686",Loyality Card,Coffee Type,Roast Type,"0.2",3.645,Price per 100g,0.40095,3,10.935,1.20285
EEG-74197-843,"7/17/2022",Rozele Relton,rrelton1l@stanford.edu,+1 (850) 626-1181,"2484 Reindahl Court",Pensacola,United States,"32590",Loyality Card,Coffee Type,Roast Type,"1.0",14.85,Price per 100g,1.6335,4,59.4,6.534
UCZ-59708-525,"3/4/2022",Willa Rolling,N/A,+1 (813) 759-3534,"3 Mockingbird Plaza",Zephyrhills,United States,"33543",Loyality Card,Coffee Type,Roast Type,"2.5",29.785,Price per 100g,3.87205,3,89.355,11.616150000000001
HUB-47311-849,"12/7/2021",Stanislaus Gilroy,sgilroy1n@eepurl.com,N/A,"9120 Harbort Terrace",Saint Paul,United States,"55123",Loyality Card,Coffee Type,Roast Type,"0.5",8.73,Price per 100g,1.1349,3,26.19,3.4047
WYM-17686-694,"2/25/2021",Correy Cottingham,ccottingham1o@wikipedia.org,+1 (260) 764-1820,"394 Logan Road",Fort Wayne,United States,"46862",Loyality Card,Coffee Type,Roast Type,"2.5",22.885,Price per 100g,2.05965,5,114.42500000000001,10.29825
ZYQ-15797-695,"2/25/2019",Pammi Endacott,N/A,+44 (177) 260-5076,"5841 Atwood Lane",Wootton,United Kingdom,NN4,Loyality Card,Coffee Type,Roast Type,"0.5",5.37,Price per 100g,0.3222,5,26.85,1.611
EEJ-16185-108,"2/9/2019",Nona Linklater,N/A,+1 (239) 347-9766,"856 Bonner Parkway",Naples,United States,"34114",Loyality Card,Coffee Type,Roast Type,"0.2",4.755,Price per 100g,0.61815,5,23.775,3.09075
RWR-77888-800,"2/7/2020",Annadiane Dykes,adykes1r@eventbrite.com,+1 (312) 111-6203,"31 Northport Terrace",Chicago,United States,"60681",Loyality Card,Coffee Type,Roast Type,"0.5",6.75,Price per 100g,0.6075,1,6.75,0.6075
LHN-75209-742,"3/23/2020",Felecia Dodgson,N/A,+1 (973) 434-8662,"48053 8th Crossing",Newark,United States,"7104",Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.3582,6,35.82,2.1492
TIR-71396-998,"3/6/2022",Angelia Cockrem,acockrem1t@engadget.com,+1 (571) 316-8217,"1 Sherman Alley",Vienna,United States,"22184",Loyality Card,Coffee Type,Roast Type,"2.5",20.585,Price per 100g,1.2351,4,82.34,4.9404
RXF-37618-213,"4/15/2022",Belvia Umpleby,bumpleby1u@soundcloud.com,+1 (682) 627-0888,"710 Prairie Rose Terrace",Fort Worth,United States,"76178",Loyality Card,Coffee Type,Roast Type,"0.5",7.17,Price per 100g,0.4302,1,7.17,0.4302
ANM-16388-634,"11/19/2021",Nat Saleway,nsaleway1v@dedecms.com,+1 (323) 473-0294,"0780 Anthes Plaza",Burbank,United States,"91505",Loyality Card,Coffee Type,Roast Type,"0.2",4.755,Price per 100g,0.61815,2,9.51,1.2363
WYL-29300-070,"10/16/2019",Hayward Goulter,hgoulter1w@abc.net.au,+1 (423) 764-7751,"2081 Mariners Cove Drive",Kingsport,United States,"37665",Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.1791,1,2.985,0.1791
JHW-74554-805,"11/26/2019",Gay Rizzello,grizzello1x@symantec.com,+44 (247) 225-8003,"21 Schmedeman Crossing",Liverpool,United Kingdom,L33,Loyality Card,Coffee Type,Roast Type,"1.0",9.95,Price per 100g,0.597,6,59.699999999999996,3.582
KYS-27063-603,"6/30/2019",Shannon List,slist1y@mapquest.com,+1 (614) 279-9816,"7123 Algoma Center",Columbus,United States,"43231",Loyality Card,Coffee Type,Roast Type,"2.5",34.155,Price per 100g,3.75705,4,136.62,15.0282
GAZ-58626-277,"1/4/2021",Shirlene Edmondson,sedmondson1z@theguardian.com,+353 (248) 428-7978,"4752 International Point",Newmarket on Fergus,Ireland,P17,Loyality Card,Coffee Type,Roast Type,"0.2",4.755,Price per 100g,0.61815,2,9.51,1.2363
RPJ-37787-335,"10/27/2020",Aurlie McCarl,N/A,+1 (504) 209-2724,"731 David Park",New Orleans,United States,"70183",Loyality Card,Coffee Type,Roast Type,"2.5",25.875,Price per 100g,2.32875,3,77.625,6.98625
LEF-83057-763,"6/15/2021",Alikee Carryer,N/A,+1 (704) 799-5219,"247 Helena Drive",Charlotte,United States,"28230",Loyality Card,Coffee Type,Roast Type,"0.2",4.365,Price per 100g,0.56745,5,21.825000000000003,2.83725
RPW-36123-215,"7/19/2021",Jennifer Rangall,jrangall22@newsvine.com,+1 (781) 512-6637,"0 Grasskamp Lane",Springfield,United States,"1114",Loyality Card,Coffee Type,Roast Type,"0.5",8.91,Price per 100g,0.9801,2,17.82,1.9602
WLL-59044-117,"7/23/2021",Kipper Boorn,kboorn23@ezinearticles.com,+353 (359) 134-1550,"9513 Meadow Ridge Parkway",Listowel,Ireland,V31,Loyality Card,Coffee Type,Roast Type,"1.0",8.95,Price per 100g,0.537,6,53.699999999999996,3.2220000000000004
AWT-22827-563,"1/25/2020",Melania Beadle,N/A,+353 (569) 458-9673,"4418 Quincy Terrace",Moycullen,Ireland,A41,Loyality Card,Coffee Type,Roast Type,"0.2",3.585,Price per 100g,0.2151,1,3.585,0.2151
QLM-07145-668,"5/9/2019",Colene Elgey,celgey25@webs.com,+1 (432) 261-0702,"45 Marcy Crossing",Midland,United States,"79705",Loyality Card,Coffee Type,Roast Type,"0.2",3.645,Price per 100g,0.40095,2,7.29,0.8019
HVQ-64398-930,"3/30/2020",Lothaire Mizzi,lmizzi26@rakuten.co.jp,+1 (214) 719-8530,"74 Atwood Lane",Dallas,United States,"75323",Loyality Card,Coffee Type,Roast Type,"0.5",6.75,Price per 100g,0.6075,6,40.5,3.6450000000000005
WRT-40778-247,"3/13/2022",Cletis Giacomazzo,cgiacomazzo27@jigsy.com,+1 (571) 703-2064,"817 Ridgeway Hill",Dulles,United States,"20189",Loyality Card,Coffee Type,Roast Type,"1.0",11.95,Price per 100g,0.717,4,47.8,2.868
SUB-13006-125,"4/17/2019",Ami Arnow,aarnow28@arizona.edu,+1 (650) 238-1964,"12 Oakridge Court",Oakland,United States,"94627",Loyality Card,Coffee Type,Roast Type,"0.5",7.77,Price per 100g,0.6993,5,38.849999999999994,3.4965
CQM-49696-263,"10/25/2019",Sheppard Yann,syann29@senate.gov,+1 (719) 803-5276,"4 Farmco Place",Colorado Springs,United States,"80930",Loyality Card,Coffee Type,Roast Type,"2.5",36.455,Price per 100g,4.73915,3,109.365,14.217450000000001
KXN-85094-246,"9/13/2019",Bunny Naulls,bnaulls2a@tiny.cc,+353 (809) 128-0755,"595 Melby Avenue",Adare,Ireland,H54,Loyality Card,Coffee Type,Roast Type,"2.5",33.465,Price per 100g,4.35045,3,100.39500000000001,13.051350000000001
XOQ-12405-419,"4/12/2020",Hally Lorait,N/A,+1 (716) 869-3749,"80 Jana Avenue",Buffalo,United States,"14205",Loyality Card,Coffee Type,Roast Type,"2.5",20.585,Price per 100g,1.2351,4,82.34,4.9404
HYF-10254-369,"11/14/2019",Zaccaria Sherewood,zsherewood2c@apache.org,+1 (209) 433-7924,"1325 Jay Terrace",Fresno,United States,"93715",Loyality Card,Coffee Type,Roast Type,"0.5",9.51,Price per 100g,1.2363,1,9.51,1.2363
XXJ-47000-307,"7/18/2019",Jeffrey Dufaire,jdufaire2d@fc2.com,N/A,"8 Buell Junction",Fort Worth,United States,"76121",Loyality Card,Coffee Type,Roast Type,"2.5",29.785,Price per 100g,2.68065,3,89.355,8.04195
XXJ-47000-307,"7/18/2019",Jeffrey Dufaire,jdufaire2d@fc2.com,N/A,"8 Buell Junction",Fort Worth,United States,"76121",Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.26865,4,11.94,1.0746
ZDK-82166-357,"4/3/2021",Beitris Keaveney,bkeaveney2f@netlog.com,N/A,"67319 Redwing Parkway",Beaumont,United States,"77705",Loyality Card,Coffee Type,Roast Type,"1.0",11.25,Price per 100g,1.0125,3,33.75,3.0374999999999996
IHN-19982-362,"3/29/2021",Elna Grise,egrise2g@cargocollective.com,N/A,"92 Becker Circle",Reno,United States,"89519",Loyality Card,Coffee Type,Roast Type,"1.0",11.95,Price per 100g,0.717,3,35.849999999999994,2.151
VMT-10030-889,"12/15/2021",Torie Gottelier,tgottelier2h@vistaprint.com,+1 (816) 743-8492,"426 Division Avenue",Kansas City,United States,"64136",Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.1655,6,77.69999999999999,6.993
NHL-11063-100,"5/20/2020",Loydie Langlais,N/A,+353 (576) 222-5069,"290 Ilene Street",Crumlin,Ireland,D6W,Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.1655,4,51.8,4.662
ROV-87448-086,"11/2/2020",Adham Greenhead,agreenhead2j@dailymail.co.uk,+1 (951) 797-0738,"0062 Spenser Place",Corona,United States,"92878",Loyality Card,Coffee Type,Roast Type,"2.5",25.875,Price per 100g,2.32875,4,103.5,9.315
DGY-35773-612,"7/25/2020",Hamish MacSherry,N/A,+1 (512) 430-4374,"7 Brentwood Plaza",Austin,United States,"78759",Loyality Card,Coffee Type,Roast Type,"1.0",14.85,Price per 100g,1.6335,3,44.55,4.9005
YWH-50638-556,"3/14/2019",Else Langcaster,elangcaster2l@spotify.com,+44 (547) 590-3103,"3658 Jenna Street",Normanton,United Kingdom,LE15,Loyality Card,Coffee Type,Roast Type,"0.5",8.91,Price per 100g,0.9801,4,35.64,3.9204
ISL-11200-600,"7/2/2020",Rudy Farquharson,N/A,N/A,"30178 Claremont Road",Charlesland,Ireland,A63,Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.26865,6,17.91,1.6118999999999999
LBZ-75997-047,"12/17/2019",Norene Magauran,nmagauran2n@51.la,N/A,"567 Artisan Place",Fresno,United States,"93762",Loyality Card,Coffee Type,Roast Type,"2.5",25.875,Price per 100g,2.32875,6,155.25,13.9725
EUH-08089-954,"12/6/2020",Vicki Kirdsch,vkirdsch2o@google.fr,N/A,"0263 Golf Street",Saint Louis,United States,"63150",Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.26865,2,5.97,0.5373
BLD-12227-251,"3/4/2021",Ilysa Whapple,iwhapple2p@com.com,+1 (559) 522-1152,"41598 Everett Drive",Fresno,United States,"93726",Loyality Card,Coffee Type,Roast Type,"0.5",6.75,Price per 100g,0.6075,2,13.5,1.215
OPY-30711-853,"7/17/2021",Ruy Cancellieri,N/A,+353 (338) 743-8327,"251 Welch Parkway",Confey,Ireland,A86,Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.26865,1,2.985,0.26865
DBC-44122-300,"11/4/2020",Aube Follett,N/A,+1 (614) 370-6392,"8671 David Park",Columbus,United States,"43210",Loyality Card,Coffee Type,Roast Type,"0.2",4.365,Price per 100g,0.56745,3,13.095,1.70235
FJQ-60035-234,"4/5/2021",Rudiger Di Bartolomeo,N/A,+1 (209) 148-6668,"7700 Melby Park",Stockton,United States,"95205",Loyality Card,Coffee Type,Roast Type,"0.2",3.885,Price per 100g,0.34965,2,7.77,0.6993
HSF-66926-425,"3/1/2020",Nickey Youles,nyoules2t@reference.com,+353 (641) 846-7654,"12461 Dryden Pass",Edgeworthstown,Ireland,E25,Loyality Card,Coffee Type,Roast Type,"2.5",29.785,Price per 100g,3.87205,5,148.925,19.36025
LQG-41416-375,"10/19/2021",Dyanna Aizikovitz,daizikovitz2u@answers.com,+353 (766) 141-6317,"7 Northland Court",Leixlip,Ireland,A86,Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.6835,3,38.849999999999994,5.0504999999999995
VZO-97265-841,"7/8/2022",Bram Revel,brevel2v@fastcompany.com,+1 (585) 775-6952,"6168 Westend Plaza",Rochester,United States,"14652",Loyality Card,Coffee Type,Roast Type,"0.2",2.985,Price per 100g,0.1791,4,11.94,0.7164
MOR-12987-399,"8/17/2019",Emiline Priddis,epriddis2w@nationalgeographic.com,+1 (205) 133-0205,"62 Amoth Terrace",Tuscaloosa,United States,"35487",Loyality Card,Coffee Type,Roast Type,"1.0",14.55,Price per 100g,1.8915,6,87.30000000000001,11.349
UOA-23786-489,"5/31/2020",Queenie Veel,qveel2x@jugem.jp,+1 (713) 750-9202,"378 Shopko Center",Houston,United States,"77260",Loyality Card,Coffee Type,Roast Type,"0.5",6.75,Price per 100g,0.6075,6,40.5,3.6450000000000005
AJL-52941-018,"5/5/2020",Lind Conyers,lconyers2y@twitter.com,+1 (915) 476-5712,"778 Summer Ridge Junction",El Paso,United States,"88514",Loyality Card,Coffee Type,Roast Type,"1.0",12.15,Price per 100g,1.3365,2,24.3,2.673
XSZ-84273-421,"4/14/2019",Pen Wye,pwye2z@dagondesign.com,+1 (719) 620-1128,"7 Dorton Terrace",Colorado Springs,United States,"80935",Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.3582,3,17.91,1.0746
NUN-48214-216,"7/29/2020",Isahella Hagland,N/A,+1 (260) 613-2279,"07 Roxbury Street",Fort Wayne,United States,"46862",Loyality Card,Coffee Type,Roast Type,"0.5",6.75,Price per 100g,0.6075,4,27.0,2.43
